n,name,article_id,price,currency,packaging,date
1,7800132_bulk,7800132,1.89,euro,liter_bulk,01/01/2020
2,2100030_bulk,2100030,6,euro,kilo_bulk,01/01/2020
3,2100108_bulk,2100108,53,euro,liter_bulk,01/01/2020
4,2080098_bulk,2080098,105,euro,liter_bulk,01/01/2020
5,2160724_bulk,2160724,42,euro,liter_bulk,01/01/2020
6,2080102_bulk,2080102,44,euro,liter_bulk,01/01/2020
7,2110104_bulk,2110104,30,euro,liter_bulk,01/01/2020
8,2090153_bulk,2090153,70,euro,kilo_bulk,01/01/2020
9,2130083_bulk,2130083,70,euro,liter_bulk,01/01/2020
10,8800395_bulk,8800395,74,euro,liter_bulk,01/01/2020
11,9900047_bulk,9900047,46,euro,liter_bulk,01/01/2020
12,2200317_bulk,2200317,75,euro,liter_bulk,01/01/2020
13,9000490_bulk,9000490,20,euro,liter_bulk,01/01/2020
14,2180229_bulk,2180229,30,euro,liter_bulk,01/01/2020
15,8800199_bulk,8800199,44,euro,liter_bulk,01/01/2020
16,9600093_bulk,9600093,23,euro,liter_bulk,01/01/2020
17,2170757_bulk,2170757,22,euro,liter_bulk,01/01/2020
18,9200078_bulk,9200078,16,euro,liter_bulk,01/01/2020
19,2060118_bulk,2060118,35,euro,liter_bulk,01/01/2020
20,9000222_bulk,9000222,4.9,euro,liter_bulk,01/01/2020
21,2000018_bulk,2000018,2.5,euro,kilo_bulk,01/01/2020
22,2100030_bulk,2100030,5,euro,kilo_bulk,01/01/2021
23,9000490_bulk,9000490,21.7,euro,liter_bulk,01/01/2021
24,2000018_bulk,2000018,1.5,euro,kilo_bulk,01/01/2021
25,9700070_bulk,9700070,50,euro,kilo_bulk,01/01/2021
26,9500452_bulk,9500452,5.14,euro,kilo_bulk,01/01/2021
27,9200214_bulk,9200214,1.31,euro,kilo_bulk,01/01/2021
28,2110059_bulk,2110059,16.7,euro,kilo_bulk,01/01/2021
29,2090132_bulk,2090132,29.3,euro,liter_bulk,01/01/2021
30,9800420_bulk,9800420,35,euro,liter_bulk,01/01/2021
31,2100181_bulk,2100181,19.8,euro,kilo_bulk,01/01/2021
32,2100221_bulk,2100221,18.9,euro,kilo_bulk,01/01/2021
33,2120132_bulk,2120132,17.9,euro,kilo_bulk,01/01/2021
34,2130152_bulk,2130152,169.8,euro,liter_bulk,01/01/2021
35,2060050_bulk,2060050,86.5,euro,liter_bulk,01/01/2021
36,9900227_bulk,9900227,16.3,euro,liter_bulk,01/01/2021
37,9200436_bulk,9200436,9.9,euro,liter_bulk,01/01/2021
38,8900564_bulk,8900564,63.7,euro,liter_bulk,01/01/2021
39,9500432_bulk,9500432,120.2,euro,liter_bulk,01/01/2021
40,2140110_bulk,2140110,29,euro,liter_bulk,01/10/2021
41,2140040_bulk,2140040,15.8,euro,liter_bulk,01/10/2021
42,2130059_bulk,2130059,41,euro,liter_bulk,01/10/2021
43,2120206_bulk,2120206,34,euro,liter_bulk,01/10/2021
44,2010280_bulk,2010280,31,euro,liter_bulk,01/10/2021
45,2180463_bulk,2180463,2.4,euro,kilo_bulk,01/10/2021
46,8600243_bulk,8600243,19.39,euro,liter_bulk,01/01/2021
47,2000324_bulk,2000324,67.95,euro,liter_bulk,01/01/2021
48,9300571_bulk,9300571,6.1,euro,kilo_bulk,01/01/2021
49,9700114_bulk,9700114,1,euro,kilo_bulk,01/01/2021
50,7200313_bulk,7200313,18.7,euro,liter_bulk,01/01/2021
51,2000517_bulk,2000517,15.8,euro,liter_bulk,01/01/2021
52,2000327_bulk,2000327,20,euro,liter_bulk,01/01/2021
53,2100041_bulk,2100041,20,euro,liter_bulk,01/01/2021
54,2150081_bulk,2150081,20,euro,liter_bulk,01/01/2021
55,2180380_bulk,2180380,20,euro,liter_bulk,01/01/2021
56,2150074_bulk,2150074,20,euro,liter_bulk,01/01/2021
57,2080038_bulk,2080038,20,euro,liter_bulk,01/01/2021
